,Latitude,Longitude,Velocity,Prediction
0,16.8272692,73.5226445,8.231592532529033,1.0
1,16.8273209,73.5233509,8.415059472387265,1.0
2,16.8273775,73.52196,8.229507296992423,1.0
3,16.8277376,73.5241549,10.75317199295911,2.0
4,16.8283514,73.5248055,10.812501615447966,2.0
5,16.8289509,73.5255605,11.546960170915764,2.0
6,16.8294663,73.5261057,9.080957149573118,1.0
7,16.8298953,73.5265171,7.195694493479025,2.0
8,16.8301342,73.5271326,8.87180681378624,1.0
9,16.8305243,73.5278075,9.306144548971268,1.0
10,16.8312256,73.5280461,9.093558058955189,1.0
11,16.8319528,73.5276133,10.267622545739792,1.0
12,16.8326315,73.5272698,9.289222421806697,1.0
13,16.8332512,73.5272785,7.6052258116772204,1.0
14,16.8337425,73.5273013,6.1067902184373475,1.0
15,16.8343864,73.527277,7.928034774890791,1.0
16,16.8351367,73.5272505,9.232870079912303,1.0
17,16.8361605,73.5276997,12.178868442383283,1.0
18,16.8366786,73.5278332,6.633460730724883,1.0
19,16.837164,73.5279893,6.24755186278672,1.0
20,16.8376424,73.528131,6.124824658054374,1.0
21,16.8381174,73.528104,5.8536363793111725,1.0
22,16.8386062,73.5280682,6.013899241343521,1.0
23,16.8389883,73.5280205,4.769386819879657,1.0
24,16.8395304,73.5281899,6.932754844015922,1.0
25,16.8399177,73.5285388,6.33195053931206,1.0
26,16.8403623,73.5288655,6.71349678124346,1.0
27,16.8406678,73.532975,3.7363555511073554,2.0
28,16.8408628,73.5327782,6.706212109804381,3.0
29,16.8408888,73.5293777,8.87553158395331,1.0
30,16.8413397,73.5301904,11.015324746617656,1.0
31,16.8413755,73.5329935,4.502861700278022,3.0
32,16.8416014,73.5308896,8.905679232741567,1.0
33,16.8417248,73.5328877,4.520002029990454,2.0
34,16.8418668,73.5324921,4.240596313358966,2.0
35,16.8419907,73.5313234,7.0420954862189475,1.0
36,16.8420089,73.5321652,4.041368327868111,2.0
37,16.8421898,73.5318851,7.037239652729676,1.0
